,tool,mode,iterations,mean,std
0,verrou_cestac,perf,319,6.343975067138672,2.725351365325013e-06
0,baseline_double,dbg,1232846,14.602051734924316,0.0
0,sr,dbg,242012,12.974246978759766,5.950092191807971e-05
0,sr,dbg,403,6.577393213907878,1.1894408501860113e-06
0,prism_sr,dbg,642,7.04258934656779,6.989998317494717e-06
0,verrou_sr,dbg,135304,12.392473538716635,0.0001561277450584955
0,prism_sr,perf,774263,14.136614163716635,0.00011485959221610811
0,cadna,dbg,242012,12.971357733333333,0.0022922352996338313
0,baseline_double,dbg,509,6.810645580291748,0.0
0,verrou_sr,dbg,10000000,16.69530487060547,0.0005857848259913441
0,verificarlo,perf,1291,7.740785916646321,5.844362993510638e-06
0,prism_ud,dbg,2782559,15.405052185058594,0.00017544151739882043
0,verificarlo,dbg,774263,14.137328147888184,0.00017077428701959413
0,baseline_double,perf,486260,13.67171573638916,0.0
0,prism_ud,perf,4132,8.903904914855957,5.924050041349363e-05
0,cadna,dbg,1023,7.508208280000001,1.2104497786659333e-05
0,prism_ud,perf,4977023,15.402644793192545,0.0024942414593438103
0,baseline_float,perf,13219,10.066675186157227,0.0
0,sr,dbg,869749,14.253100395202637,0.00016871861635839208
0,sr,perf,37649,11.11316967010498,4.5557292604431866e-05
0,prism_ud,perf,911,7.392309824625651,2.4726151126391165e-06
0,verrou_sr,perf,95454,12.043601353963217,6.571055184786084e-05
0,prism_ud,perf,8902150,15.405235290527344,0.00026924147533378035
0,sr,dbg,3944206,15.764932950337728,0.00016305754779145405
0,verrou_sr,dbg,215443,12.857630411783854,0.00029376299527502823
0,verrou_cestac,perf,4430621,16.257985432942707,0.0019765214581373906
0,sr,perf,1291,7.740768750508626,2.816525323656297e-06
0,verrou_sr,dbg,191791,12.74135684967041,0.0001253951782727373
0,verificarlo,perf,2477076,15.299445470174154,0.00019289122330905324
0,prism_sr,perf,4641,9.020005861918131,7.022451411684203e-06
0,baseline_double,dbg,135304,12.392498970031738,0.0
0,verificarlo,perf,2205130,15.183372179667154,0.0006417910879933318
0,verificarlo,dbg,253,6.112581253051758,7.2106019479203255e-06
0,prism_ud,dbg,4977023,15.405363082885742,0.0015691894875933263
0,prism_sr,dbg,37649,11.11324373881022,7.732541806798691e-05
0,verificarlo,perf,29836,10.880659421284994,9.05014091840538e-05
0,verrou_cestac,dbg,13219,10.066688537597656,2.274201663019806e-05
0,prism_ud,dbg,2205130,15.403690020243326,0.0009533908210698316
0,verrou_sr,perf,546227,13.788006146748861,0.00015195543293526831
0,prism_sr,dbg,2205130,15.183593114217123,0.0005886812164969031
0,prism_sr,dbg,1450,7.856879711151123,3.893359093321448e-06
